timestamp, pid, used_gpu_memory [MiB]
2025/07/05 19:56:30.653, 85286, 3276 MiB
2025/07/05 19:56:32.654, 85286, 3276 MiB
2025/07/05 19:56:34.656, 85286, 3276 MiB
2025/07/05 19:56:36.656, 85286, 3276 MiB
2025/07/05 19:56:38.657, 85286, 22728 MiB
2025/07/05 19:56:40.657, 85286, 69486 MiB
2025/07/05 19:56:42.658, 85286, 69486 MiB
2025/07/05 19:56:44.663, 85286, 30268 MiB
2025/07/05 19:56:46.663, 85286, 60306 MiB
2025/07/05 19:56:48.664, 85286, 60306 MiB
2025/07/05 19:56:50.664, 85286, 60308 MiB
2025/07/05 19:56:52.665, 85286, 60308 MiB
2025/07/05 19:56:54.875, 85286, 60308 MiB
